metric,family,description
clearances__H2_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Clearances made during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
clearances__H2_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Clearances made during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
clearances__H2_percentile,Situational - By Half - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Clearances made during the second half (and second-half extra time / shootout where played).
clearances__H2_zscore,Situational - By Half - Z-Score,Standard-deviations from the group mean for: Clearances made during the second half (and second-half extra time / shootout where played).
clearances__away,Situational - Home/Away,Clearances made in away matches only.
clearances__away_per90,Situational - Home/Away,"Clearances made in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
clearances__away_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Clearances made in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
clearances__away_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Clearances made in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
clearances__away_percentile,Situational - Home/Away - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Clearances made in away matches only.
clearances__away_zscore,Situational - Home/Away - Z-Score,Standard-deviations from the group mean for: Clearances made in away matches only.
clearances__home,Situational - Home/Away,Clearances made in home matches only.
clearances__home_per90,Situational - Home/Away,"Clearances made in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
